phase,L1,L2,L3
51.05010020040080576,2.8549068773447929116e+42,1.4405403092136656296e+42,2.261960190121963146e+42
53.052104208416835718,2.7888963484338580405e+42,1.3956539669878385013e+42,2.2951471786999034422e+42
55.054108216432865675,2.7271399115375402064e+42,1.352591188003576837e+42,2.3232914300566301913e+42
57.056112224448902737,2.6689065605934110107e+42,1.3107847516627373998e+42,2.3465102396434071054e+42
59.058116232464932693,2.6136232071229300784e+42,1.2698546270704781005e+42,2.3649395649658505347e+42
61.06012024048096265,2.5608383549202594933e+42,1.2295673841278729218e+42,2.3787335312664808362e+42
63.062124248496999712,2.510194665664906389e+42,1.189799352991766681e+42,2.3880634423451611081e+42
65.06412825651302967,2.4614080316183703016e+42,1.1505053464974149239e+42,2.3931164327751083351e+42
67.066132264529059626,2.4142515455590229552e+42,1.11169340400630861005e+42,2.3940937161246419494e+42
69.06813627254508958,2.3685431045524375979e+42,1.07340519270238563875e+42,2.3912086389754550429e+42
71.07014028056111954,2.3241358097081945316e+42,1.0357013411919141777e+42,2.3846845259183934848e+42
73.07214428857716371,2.2809104964068622523e+42,9.986508417519490437e+41,2.3747524098435301676e+42
75.07414829659319366,2.2387698902694526067e+42,9.623236706438781955e+41,2.361648757128382382e+42
77.07615230460922362,2.1976340489302124712e+42,9.267858978397362718e+41,2.3456131544807738998e+42
79.07815631262525358,2.1574367718824541964e+42,8.9209664159277188945e+41,2.3268861068594726941e+42
81.08016032064128353,2.1181227844987073351e+42,8.583063795682665831e+41,2.3057069201411022137e+42
83.08216432865731349,2.0796455215996392176e+42,8.254562221783135873e+41,2.2823117243038514139e+42
85.08416833667335766,2.0419653704896760512e+42,7.93577836036595608e+41,2.2569316903408476994e+42
87.086172344689387614,2.0050482943474422635e+42,7.6269381854071888726e+41,2.2297914032339728205e+42
89.08817635270541757,1.9688647330512725996e+42,7.328183313503272002e+41,2.2011074671971955064e+42
91.09018036072144753,1.9333887371416425701e+42,7.0395789432980272125e+41,2.1710873057293405867e+42
93.092184368737477485,1.8985972818040110283e+42,6.761122514528327852e+41,2.1399281736909615473e+42
95.09418837675350744,1.8644697151204414882e+42,6.492752387408056111e+41,2.1078163894977644986e+42
97.09619238476955161,1.8309873284324121889e+42,6.234356422288341499e+41,2.074926751658694516e+42
99.098196392785581565,1.7981330057518679525e+42,5.9857799249654714006e+41,2.041422160438385531e+42
101.10020040080161152,1.7658909481474891947e+42,5.74683303349248082e+41,2.0074534090327601473e+42
103.10220440881764148,1.734246454232189113e+42,5.5172974144403918467e+41,1.9731591381757327936e+42
105.104208416833671436,1.7031857386806527287e+42,5.2969321444060222565e+41,1.9386659391446018677e+42
107.10621242484970139,1.6726957946396339673e+42,5.085479025857361563e+41,1.9040885801560076482e+42
109.10821643286573135,1.6427642757678134727e+42,4.8826671033733229147e+41,1.8695303464567686354e+42
111.11022044088177552,1.61337940489922116e+42,4.688216627159064735e+41,1.8350834708186716309e+42
113.11222444889780547,1.5845299006930553455e+42,4.5018424511883530466e+41,1.8008296405581295517e+42
115.11422845691383543,1.5562049131416155812e+42,4.323256839711708313e+41,1.7668405611643424711e+42
117.11623246492986539,1.528393978121074726e+42,4.1521719337512384574e+41,1.73317856629166622e+42
119.11823647294589534,1.5010869735281433222e+42,3.988301703167435248e+41,1.6998972536419292413e+42
121.1202404809619253,1.4742740866858204482e+42,3.8313636061386909415e+41,1.6670421389706351673e+42
123.12224448897796947,1.4479457875645370415e+42,3.681079939954964594e+41,1.6346513158344266143e+42
125.124248496993999424,1.4220928020014694622e+42,3.5371788630676893546e+41,1.6027561057399455513e+42
127.12625250501002938,1.396706095484065905e+42,3.3993952827100605904e+41,1.5713817014931157092e+42
129.12825651302605934,1.3717768531365808488e+42,3.2674714559859854625e+41,1.540547783155704676e+42
131.1302605210420893,1.3472964658434793777e+42,3.1411574764063650106e+41,1.5102691115054526581e+42
133.13226452905811925,1.3232565181400871696e+42,3.0202116168386831663e+41,1.480556090940517003e+42
135.13426853707414921,1.29964877360783791915e+42,2.9044005063149211222e+41,1.4514152930638108039e+42
137.13627254509017916,1.27646516766246465465e+42,2.7934992832243823061e+41,1.4228499519243688779e+42
139.13827655310620912,1.2536977952594154032e+42,2.6872915939636445174e+41,1.3948604136730699328e+42
141.14028056112223908,1.2313389030312970364e+42,2.585569567528137508e+41,1.3674445528410003203e+42
143.14228456913829746,1.2093808819434134859e+42,2.4881337314025585277e+41,1.34059815060154157265e+42
145.14428857715432741,1.18781625715823632845e+42,2.3947928470602882004e+41,1.3143152310725051474e+42
147.14629258517035737,1.1666376840677660092e+42,2.3053637694907990587e+41,1.2885883698115768083e+42
149.14829659318638733,1.14583793941935425444e+42,2.2196712217060519796e+41,1.2634089604374671443e+42
151.15030060120241728,1.12540991642316488564e+42,2.1375475840707579962e+41,1.2387674540637903878e+42
153.15230460921844724,1.1053466201473117607e+42,2.0588326639972492728e+41,1.21465356844546185416e+42
155.1543086172344772,1.08564116054742147836e+42,1.9833734276416595108e+41,1.1910564652696039959e+42
157.15631262525050715,1.0662867510964527627e+42,1.9110237709714156989e+41,1.1679649094670756349e+42
159.15831663326653711,1.0472767030617224024e+42,1.8416442414884530736e+41,1.14536739852077079884e+42
